fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,cbs_id,bam_id
6012,Didi Gregorius,bat,Gregorius,Didi,7098,Gregorius,Didi,9282,Gregorius,Didi,ARI,SS,GREGORIUS19900218A,1810724,544369
6013,Cristhian Adames,bat,Adames,Cristhian,7997,Adames,Cristhian,9774,Adames,Cristhian,,2B/3B/SS,ADAMES19910726A,1959299,542436
6019,Cody Clark,bat,Clark,Cody,6467,Clark,Cody,9501,Clark,Cody,,C,,,460612
6021,Takashi Saito,pit,Saito,Takashi,4378,Saito,Takashi,,,,,,,,493416
6026,Nate Spears,bat,Spears,Nate,6087,Spears,Nate,9059,Spears,Nate,,2B,,1665408,460621
6027,Sugar Marimon,pit,Marimon,Sugar,,,,9929,Ray Marimon,Sugar,,RP,,2034755,516970
6033,Kelvin Herrera,pit,Herrera,Kelvin,7548,Herrera,Kelvin,9089,Herrera,Kelvin,KC,RP,HERRERA19891231A,1897843,516969
6035,David Murphy,bat,Murphy,David,3467,Murphy,David,7862,Murphy,David,TEX,OF,MURPHY19811018A,486548,461815
6046,Matt Pagnozzi,bat,Pagnozzi,Matt,5660,Pagnozzi,Matt,8606,Pagnozzi,Matt,,C,PAGNOZZI19821110A,484528,431166
6050,Moises Sierra,bat,Sierra,Moises,6062,Sierra,Moises,9251,Sierra,Moises,TOR,OF,SIERRA19880924A,1666824,501213
6052,Brad Snyder,bat,Snyder,Brad,5710,Snyder,Brad,8100,Snyder,Brad,,1B/OF,,479391,430957
6068,Matt Chico,pit,Chico,Matt,,,,,,,,,,,453889
6073,Brendan Ryan,bat,Ryan,Brendan,4354,Ryan,Brendan,8042,Ryan,Brendan,SEA,SS,RYAN19820326A,580791,453895
6086,Casey McGehee,bat,McGehee,Casey,3180,McGehee,Casey,8359,McGehee,Casey,,1B,MCGEHEE19821012A,489788,431171
6104,Aaron Hill,bat,Hill,Aaron,2186,Hill,Aaron,7483,Hill,Aaron,ARI,2B/3B,HILL19820321A,484952,431094
6109,Joe Wieland,pit,Wieland,Joe,6775,Wieland,Joseph,9153,Wieland,Joe,SD,SP,WIELAND19900121A,1840203,543921
6113,James Houser,pit,Houser,James,,,,,,,,,,,446901
6124,Virgil Vasquez,pit,Vasquez,Virgil,,,,,,,,,,,446911
6127,Juan Jaime,pit,Jaime,Juan,6009,Jaime,Juan,9738,Jaime,Juan,,RP,JAIME19870802A,1725226,462089
6132,John Ely,pit,Ely,John,6111,Ely,John,8720,Ely,John,HOU,RP,ELY19860517A,1669642,518655
6141,Tony Gwynn,bat,Gwynn,Tony,1961,Gwynn,Tony,7814,Gwynn Jr.,Tony,,OF,GWYNN19821004A,489849,448242
6144,Brian Anderson,pit,Anderson,Brian,,,,,,,,,,,435042
6153,Eduardo Escobar,bat,Escobar,Eduardo,6088,Escobar,Eduardo,9054,Escobar,Eduardo,MIN,2B/3B/SS/OF,ESCOBAR19890105A,1670491,500871
6155,Travis Denker,bat,Denker,Travis,,,,,,,,,,,458239
6164,Dusty Hughes,pit,Hughes,Dusty,,,,,,,,,,,458250
6165,Irving Falu,bat,Falu,Irving,6466,Falu,Irving,9172,Falu,Irving,KC,2B/3B,FALU19830606A,1208708,458252
6166,Logan Kensing,pit,Kensing,Logan,2569,Kensing,Logan,7449,Kensing,Logan,,RP,KENSING19820703A,520085,434137
6175,Albert Suarez,pit,Suarez,Albert,,,,10285,,,,SP/RP,SUAREZ19891008A,,544150
6176,Scott Baker,pit,Baker,Scott,210,Baker,Scott,7533,Baker,Scott,CHC,RP/SP,BAKER19810919A,546225,435044
6178,Tony Sanchez,bat,Sanchez,Tony,6400,Sanchez,Tony,9394,Sanchez,Tony,,C,SANCHEZ19880520A,1735793,506997
6184,J.D. Martinez,bat,Martinez,J.D.,6608,Martinez,J.D.,9002,Martinez,J.D.,HOU,OF,MARTINEZ19870821A,1795780,502110
6195,Ian Kinsler,bat,Kinsler,Ian,2608,Kinsler,Ian,7490,Kinsler,Ian,TEX,2B,KINSLER19820622A,489854,435079
6200,Dustin Molleken,pit,Molleken,Dustin,,,,10319,,,,RP,MOLLEKEN19840821A,,451783
6201,Nate Schierholtz,bat,Schierholtz,Nate,4475,Schierholtz,Nate,8054,Schierholtz,Nate,CHC,OF,SCHIERHOL19840215A,490437,435625
6204,Shaun Marcum,pit,Marcum,Shaun,3032,Marcum,Shaun,7661,Marcum,Shaun,NYM,SP/RP,,564466,451788
6216,Dellin Betances,pit,Betances,Dellin,6380,Betances,Dellin,9063,Betances,Dellin,NYY,RP,BETANCES19880323A,1623765,476454
6220,Tyler Graham,bat,Graham,Tyler,,,,9291,Graham,Tyler,,OF,,1603024,488917
6230,Kyle Kendrick,pit,Kendrick,Kyle,2564,Kendrick,Kyle,8053,Kendrick,Kyle,PHI,SP,KENDRICK19840826A,1225738,452718
6238,Diego Moreno,pit,Moreno,Diego,,,,10008,Moreno,Diego,,RP,MORENO19860721A,2167517,514981
6244,Tom Gorzelanny,pit,Gorzelanny,Tom,1842,Gorzelanny,Tom,7678,Gorzelanny,Tom,MIL,RP,GORZELANN19820712A,566069,452733
6246,Barbaro Canizares,bat,Canizares,Barbaro,,,,,,,,,,,498568
6248,Aaron Laffey,pit,Laffey,Aaron,2695,Laffey,Aaron,8075,Laffey,Aaron,,RP/SP,LAFFEY19850415A,1200054,444836
6249,Trevor Cahill,pit,Cahill,Trevor,5758,Cahill,Trevor,8410,Cahill,Trevor,ARI,SP/RP,CAHILL19880301A,1619075,502239
6262,Tommy Field,bat,Field,Tommy,7554,Field,Tommy,9081,Field,Tommy,LAA,2B/SS,FIELD19870222A,1740928,474494
6265,Andre Ethier,bat,Ethier,Andre,1469,Ethier,Andre,7710,Ethier,Andre,LAD,OF,ETHIER19820410A,490390,444843
6266,Daniel Robertson,bat,Robertson,Daniel,7162,Robertson,Daniel,9681,Robertson,Daniel,,OF,ROBERTSON19850930A,1671059,543706
6267,Jake Fox,bat,Fox,Jake,,,,,,,,,FOX19820720A,,444844
6274,Carlos Quentin,bat,Quentin,Carlos,3998,Quentin,Carlos,7485,Quentin,Carlos,SD,OF,QUENTIN19820828A,490156,435041
6282,Greg Burke,pit,Burke,Greg,5788,Burke,Greg,8476,Burke,Greg,NYM,RP,BURKE19820921A,1601126,457566
6283,Scott Feldman,pit,Feldman,Scott,1508,Feldman,Scott,7622,Feldman,Scott,CHC,SP/RP,FELDMAN19830207A,549996,444857
6288,Colin Curtis,bat,Curtis,Colin,,,,,,,,,,,453298
6291,George Sherrill,pit,Sherrill,George,,,,7379,Sherrill,George,,RP,,479390,430941
